Combination,Optimized_b,Optimized_Objective,Optimized_Returns,Minimum_Variance
"('SUN', 'GPT', 'CPU', 'VEA', 'CSL', 'WOW')","[0.20705987106, 0.1, 0.24297615138, 0.24996400731, 0.1, 0.1]",8.488555673318661,0.0006412227361668281,7.55396749275413e-05
"('SUN', 'GPT', 'CPU', 'WDS', 'SHL', 'TWE')","[0.27028273856, 0.1, 0.28699621849, 0.1427208956, 0.1, 0.10000016725]",6.807831833736953,0.0005370259542289409,7.888355167171582e-05
"('SUN', 'GPT', 'CPU', 'WDS', 'SHL', 'GNC')","[0.26151324008, 0.1, 0.28850963826, 0.12951966546, 0.1, 0.12045747619]",7.149870965986048,0.0005804104703370144,8.117775454944441e-05
"('SUN', 'GPT', 'CPU', 'WDS', 'SHL', 'WOW')","[0.26646421446, 0.1, 0.29017360167, 0.14336221337, 0.1, 0.1]",6.621037942482522,0.0005019852961562931,7.581670736779927e-05
"('SUN', 'GPT', 'CPU', 'WDS', 'FPH', 'TWE')","[0.27785175323, 0.1, 0.27746637364, 0.14468190311, 0.1, 0.1]",7.011636846026643,0.000536646560158007,7.653655942864669e-05
"('SUN', 'GPT', 'CPU', 'WDS', 'FPH', 'GNC')","[0.26996034994, 0.1, 0.27950475869, 0.13200431372, 0.1, 0.11853059755]",7.366547778549281,0.0005800227891252394,7.873739593656246e-05
"('SUN', 'GPT', 'CPU', 'WDS', 'FPH', 'WOW')","[0.27401953535, 0.1, 0.28067168592, 0.14530880625, 0.1, 0.1]",6.810617068484176,0.0005016128170282568,7.365159602783241e-05
"('SUN', 'GPT', 'CPU', 'WDS', 'CSL', 'TWE')","[0.27480590442, 0.1, 0.28196427346, 0.14322985127, 0.1, 0.1]",7.310275109200052,0.0005710828856976234,7.812057373585161e-05
"('SUN', 'GPT', 'CPU', 'WDS', 'CSL', 'GNC')","[0.25913330148, 0.1, 0.27945614159, 0.12758960824, 0.11135083411, 0.12247012456]",7.661757205345365,0.0006069162513674761,7.921371496137332e-05
"('SUN', 'GPT', 'CPU', 'WDS', 'CSL', 'WOW')","[0.27106172758, 0.1, 0.28498840257, 0.1439498031, 0.10000008667, 0.1]",7.113403294855785,0.0005360038042852908,7.535124638201152e-05
"('SUN', 'GPT', 'XRO', 'STO', 'SHL', 'TWE')","[0.50000004975, 0.1, 0.1, 0.1, 0.1, 0.1]",3.5878577402269576,0.0003500636561025776,9.756899003482608e-05
"('SUN', 'GPT', 'XRO', 'STO', 'SHL', 'GNC')","[0.42240246086, 0.1, 0.1, 0.1, 0.1, 0.17759757898]",4.052531529254498,0.000394217762821541,9.72769144362613e-05
"('SUN', 'GPT', 'XRO', 'STO', 'SHL', 'WOW')","[0.50000004039, 0.1, 0.1, 0.1, 0.1, 0.1]",3.339309766449196,0.00031441768968158517,9.415649091336512e-05
"('SUN', 'GPT', 'XRO', 'STO', 'FPH', 'TWE')","[0.50000003719, 0.1, 0.1, 0.1, 0.1, 0.1000000011]",3.6898302467589112,0.00035182215045955314,9.534914262480995e-05
"('SUN', 'GPT', 'XRO', 'STO', 'FPH', 'GNC')","[0.42572281858, 0.1, 0.1, 0.1, 0.1, 0.17427722138]",4.163114547218696,0.00039584958689894197,9.508496160966845e-05
"('SUN', 'GPT', 'XRO', 'STO', 'FPH', 'WOW')","[0.5000000491, 0.1, 0.1, 0.1, 0.1, 0.1]",3.4325390754206944,0.00031617619838940716,9.21114636839659e-05
"('SUN', 'GPT', 'XRO', 'STO', 'CSL', 'TWE')","[0.49461558937, 0.1, 0.1, 0.10000000892, 0.1, 0.10538443163]",4.026142670636939,0.0003831930367287138,9.517621904543496e-05
"('SUN', 'GPT', 'XRO', 'STO', 'CSL', 'GNC')","[0.42056089493, 0.1, 0.1, 0.10000002338, 0.1, 0.17943910573]",4.51621564443945,0.0004294300122498954,9.508625053779867e-05
"('SUN', 'GPT', 'XRO', 'STO', 'CSL', 'WOW')","[0.49999994515, 0.1, 0.1, 0.10000009423, 0.1, 0.1]",3.7759008155204836,0.00034955966213434187,9.257649477907626e-05
"('SUN', 'GPT', 'XRO', 'VEA', 'SHL', 'TWE')","[0.27925114654, 0.1, 0.1, 0.32074889342, 0.1, 0.1]",5.407878743390741,0.0005218950337254713,9.650642303385727e-05
"('SUN', 'GPT', 'XRO', 'VEA', 'SHL', 'GNC')","[0.29135132433, 0.1, 0.1, 0.30864302951, 0.1, 0.10000567615]",5.6522406136191,0.0005581505313857885,9.874854408018693e-05
"('SUN', 'GPT', 'XRO', 'VEA', 'SHL', 'WOW')","[0.27367020111, 0.1, 0.1, 0.3263298162, 0.1, 0.10000000837]",5.23449516647863,0.0004885256689061592,9.332813449416213e-05
"('SUN', 'GPT', 'XRO', 'VEA', 'FPH', 'TWE')","[0.28488410474, 0.1, 0.1, 0.31511593525, 0.1, 0.1]",5.500219592284336,0.000521355698660944,9.478816071131008e-05
"('SUN', 'GPT', 'XRO', 'VEA', 'FPH', 'GNC')","[0.29705149369, 0.1, 0.1, 0.30294830254, 0.1, 0.10000023376]",5.757093564426882,0.0005575857914780774,9.685195928087804e-05
"('SUN', 'GPT', 'XRO', 'VEA', 'FPH', 'WOW')","[0.27921716824, 0.1000000314, 0.10000000592, 0.32078268907, 0.10000002416, 0.10000008121]",5.316502646290128,0.00048802122572271395,9.17936580099808e-05
"('SUN', 'GPT', 'XRO', 'VEA', 'CSL', 'TWE')","[0.28683159153, 0.1, 0.1, 0.31316844845, 0.1, 0.1]",5.887025832518317,0.0005539447745853515,9.409586272333178e-05
"('SUN', 'GPT', 'XRO', 'VEA', 'CSL', 'GNC')","[0.29583189293, 0.1, 0.1, 0.29980900085, 0.1, 0.1043591362]",6.132116162485973,0.0005898549948819016,9.619109932887721e-05
"('SUN', 'GPT', 'XRO', 'VEA', 'CSL', 'WOW')","[0.28168659541, 0.1, 0.1, 0.31831344457, 0.1, 0.1]",5.708091688327472,0.0005203975993342462,9.116840228730242e-05
"('SUN', 'GPT', 'XRO', 'WDS', 'SHL', 'TWE')","[0.40194607658, 0.1, 0.1, 0.19805391766, 0.1, 0.1000000357]",4.1722743953890795,0.00037459930248282387,8.978299770906874e-05
"('SUN', 'GPT', 'XRO', 'WDS', 'SHL', 'GNC')","[0.37362180152, 0.1, 0.1, 0.175769303, 0.1, 0.15060892536]",4.564581929864687,0.00041957506405151045,9.191971367768798e-05
"('SUN', 'GPT', 'XRO', 'WDS', 'SHL', 'WOW')","[0.4014310078, 0.1, 0.1, 0.19856903218, 0.1, 0.1]",3.9239026538186432,0.00033891056933291577,8.637078929649199e-05
